epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,5057.6,1.1309,0.96983,1.20313,0.82101,0.76373,0.89205,0.58878,1.25609,1.16381,1.34747,0.000332296,0.000332296,0.000332296
29,5243.05,1.1444,0.93442,1.18586,0.70838,0.80381,0.81493,0.52106,1.36364,1.3414,1.41028,0.000318158,0.000318158,0.000318158
30,5430.53,1.1576,0.95423,1.20465,0.77721,0.77288,0.8577,0.52959,1.39959,1.29514,1.42664,0.000304021,0.000304021,0.000304021
31,5612.99,1.14249,0.92416,1.18829,0.80512,0.85566,0.91346,0.57061,1.37404,1.02366,1.40336,0.000289884,0.000289884,0.000289884
32,5796.57,1.10355,0.87319,1.18226,0.7175,0.86682,0.88891,0.57837,1.31668,1.11618,1.37559,0.000275747,0.000275747,0.000275747
33,5977.29,1.12211,0.89637,1.19582,0.8058,0.85294,0.9207,0.5999,1.27876,1.03661,1.36569,0.00026161,0.00026161,0.00026161
34,6156.96,1.11707,0.87524,1.17138,0.88021,0.85453,0.93378,0.60334,1.30123,0.93281,1.36392,0.000247472,0.000247472,0.000247472
35,6337.68,1.10568,0.87398,1.17471,0.85641,0.83131,0.94718,0.61712,1.31796,0.97657,1.38645,0.000233335,0.000233335,0.000233335
36,6529.8,1.07996,0.84294,1.16935,0.87049,0.78757,0.92394,0.56792,1.44068,1.04232,1.4875,0.000219198,0.000219198,0.000219198
37,6720.3,1.07054,0.81958,1.15654,0.87089,0.85528,0.93927,0.5795,1.41769,0.94366,1.47378,0.000205061,0.000205061,0.000205061
38,6906.84,1.08173,0.81241,1.15014,0.89669,0.83602,0.94932,0.59913,1.39449,0.87124,1.45515,0.000190924,0.000190924,0.000190924
39,7102.69,1.08664,0.80707,1.15941,0.84257,0.8015,0.91857,0.60243,1.35038,1.02523,1.39888,0.000176786,0.000176786,0.000176786
40,7289.97,1.08798,0.81954,1.14962,0.86015,0.80365,0.92143,0.60278,1.32876,1.04673,1.39298,0.000162649,0.000162649,0.000162649
41,7471.61,1.07052,0.80146,1.22408,0.92928,0.8687,0.93736,0.60981,1.2822,0.9269,1.36611,0.000148512,0.000148512,0.000148512
42,7651.67,1.02383,0.73556,1.18693,0.94207,0.89577,0.96908,0.64174,1.27093,0.76316,1.35112,0.000134375,0.000134375,0.000134375
43,7841.28,1.01235,0.68102,1.17768,0.9275,0.90217,0.96771,0.63028,1.3137,0.78502,1.38997,0.000120238,0.000120238,0.000120238
44,8019.17,1.00418,0.7058,1.15845,0.8659,0.90469,0.95211,0.63514,1.29766,0.82767,1.38976,0.0001061,0.0001061,0.0001061
45,8265.97,0.99548,0.68402,1.17173,0.85085,0.91083,0.95852,0.62122,1.33485,0.85115,1.43095,9.19632e-05,9.19632e-05,9.19632e-05
46,8505.97,0.98231,0.64924,1.17771,0.91467,0.8944,0.94971,0.62481,1.31087,0.78907,1.40572,7.7826e-05,7.7826e-05,7.7826e-05
47,8685.28,0.974,0.62726,1.15658,0.88808,0.90111,0.95133,0.6287,1.28591,0.81771,1.37964,6.36888e-05,6.36888e-05,6.36888e-05
48,8859.73,0.95954,0.6335,1.15491,0.90134,0.85634,0.95644,0.61715,1.35357,0.8427,1.43935,4.95516e-05,4.95516e-05,4.95516e-05
49,9034.1,0.97795,0.63896,1.14274,0.92737,0.90596,0.96419,0.63511,1.30349,0.75131,1.40105,3.54144e-05,3.54144e-05,3.54144e-05
50,9208.55,0.95561,0.64919,1.16761,0.92541,0.88093,0.96461,0.63161,1.34339,0.78057,1.43059,2.12772e-05,2.12772e-05,2.12772e-05
